month,adj_close
"=""2014-09""",90.29661560
"=""2014-10""",92.90268707
"=""2014-11""",97.12641144
"=""2014-12""",94.59765625
"=""2015-01""",92.97298431
"=""2015-02""",99.68614960
"=""2015-03""",97.11123657
"=""2015-04""",99.20570374
"=""2015-05""",101.43626404
"=""2015-06""",98.68952179
"=""2015-07""",103.42488098
"=""2015-08""",96.36672211
"=""2015-09""",94.01088715
"=""2015-10""",104.95452881
"=""2015-11""",105.59353638
"=""2015-12""",103.59316254
"=""2016-01""",96.72896576
"=""2016-02""",95.21482086
"=""2016-03""",101.43861389
"=""2016-04""",98.49729156
"=""2016-05""",102.80161285
"=""2016-06""",100.19291687
"=""2016-07""",107.64347839
"=""2016-08""",108.77384949
"=""2016-09""",110.90373230
"=""2016-10""",109.56143188
"=""2016-11""",110.03905487
"=""2016-12""",110.95682526
"=""2017-01""",117.00511169
"=""2017-02""",122.12416077
"=""2017-03""",124.34083557
"=""2017-04""",127.99728394
"=""2017-05""",132.98574829
"=""2017-06""",129.55027771
"=""2017-07""",135.17895508
"=""2017-08""",137.98204041
"=""2017-09""",137.27423096
"=""2017-10""",143.91194153
"=""2017-11""",146.74949646
"=""2017-12""",147.32641602
"=""2018-01""",160.56298828
"=""2018-02""",158.48730469
"=""2018-03""",151.77658081
"=""2018-04""",152.79177856
"=""2018-05""",161.45957947
"=""2018-06""",162.95956421
"=""2018-07""",167.87512207
"=""2018-08""",177.57940674
"=""2018-09""",176.76115417
"=""2018-10""",161.85804749
"=""2018-11""",161.42915344
"=""2018-12""",147.02757263
"=""2019-01""",160.73448181
"=""2019-02""",165.54231262
"=""2019-03""",171.72663879
"=""2019-04""",181.50003052
"=""2019-05""",166.57136536
"=""2019-06""",178.81884766
"=""2019-07""",183.39849854
"=""2019-08""",179.91479492
"=""2019-09""",181.20077515
"=""2019-10""",189.51889038
"=""2019-11""",197.23120117
"=""2019-12""",204.45314026
"=""2020-01""",211.12200928
"=""2020-02""",198.33343506
"=""2020-03""",183.49212646
"=""2020-04""",211.41735840
"=""2020-05""",225.37274170
"=""2020-06""",239.12538147
"=""2020-07""",257.13919067
"=""2020-08""",285.28234863
"=""2020-09""",268.79699707
"=""2020-10""",260.61233521
"=""2020-11""",289.86810303
"=""2020-12""",303.52859497
"=""2021-01""",304.87341309
"=""2021-02""",304.46636963
"=""2021-03""",309.30270386
"=""2021-04""",327.99569702
"=""2021-05""",324.05572510
"=""2021-06""",343.94958496
"=""2021-07""",354.20013428
"=""2021-08""",369.14257812
"=""2021-09""",347.77810669
"=""2021-10""",375.54330444
"=""2021-11""",383.04229736
"=""2021-12""",386.96203613
"=""2022-01""",353.56536865
"=""2022-02""",337.73995972
"=""2022-03""",353.06875610
"=""2022-04""",305.44357300
"=""2022-05""",300.59741211
"=""2022-06""",273.29516602
"=""2022-07""",308.18975830
"=""2022-08""",292.37292480
"=""2022-09""",261.10061646
"=""2022-10""",272.03222656
"=""2022-11""",287.11410522
"=""2022-12""",260.61068726
"=""2023-01""",289.03765869
