month,adj_close
"=""2018-01""",96.91445160
"=""2018-02""",93.77162933
"=""2018-03""",96.45948792
"=""2018-04""",94.43390656
"=""2018-05""",96.32025909
"=""2018-06""",96.93076324
"=""2018-07""",95.54366302
"=""2018-08""",96.79999542
"=""2018-09""",94.02574921
"=""2018-10""",91.27235413
"=""2018-11""",92.88532257
"=""2018-12""",98.10015869
"=""2019-01""",98.93412781
"=""2019-02""",97.35243225
"=""2019-03""",102.79167175
"=""2019-04""",100.73584747
"=""2019-05""",107.63664246
"=""2019-06""",108.66439819
"=""2019-07""",108.95299530
"=""2019-08""",120.98785400
"=""2019-09""",117.77159882
"=""2019-10""",116.46259308
"=""2019-11""",115.98913574
"=""2019-12""",112.10384369
"=""2020-01""",121.12698364
"=""2020-02""",128.93931580
"=""2020-03""",137.18661499
"=""2020-04""",138.86328125
"=""2020-05""",136.43672180
"=""2020-06""",136.89764404
"=""2020-07""",142.98532104
"=""2020-08""",135.77764893
"=""2020-09""",136.82540894
"=""2020-10""",132.20594788
"=""2020-11""",134.40072632
"=""2020-12""",132.61953735
"=""2021-01""",128.06544495
"=""2021-02""",120.58380127
"=""2021-03""",114.25384521
"=""2021-04""",117.08534241
"=""2021-05""",117.07638550
"=""2021-06""",122.25342560
"=""2021-07""",126.81430817
"=""2021-08""",126.39370728
"=""2021-09""",122.71289825
"=""2021-10""",125.73802948
"=""2021-11""",129.22221375
"=""2021-12""",126.48487854
"=""2022-01""",121.81925964
"=""2022-02""",119.66333771
"=""2022-03""",113.15605164
"=""2022-04""",102.47116089
"=""2022-05""",100.14511108
"=""2022-06""",98.86109924
"=""2022-07""",101.24414825
"=""2022-08""",96.65010071
"=""2022-09""",88.66461182
"=""2022-10""",83.35352325
"=""2022-11""",89.30756378
"=""2022-12""",86.76481628
"=""2023-01""",93.84561920
"=""2023-02""",89.06445312
"=""2023-03""",93.38471985
"=""2023-04""",93.69403839
"=""2023-05""",90.86993408
"=""2023-06""",91.05502319
"=""2023-07""",88.73393250
"=""2023-08""",85.94168091
"=""2023-09""",79.08917236
"=""2023-10""",74.75588989
"=""2023-11""",82.15274811
"=""2023-12""",89.02529144
"=""2024-01""",87.58337402
"=""2024-02""",85.33624268
"=""2024-03""",86.01079559
"=""2024-04""",80.44507599
"=""2024-05""",82.75140381
"=""2024-06""",84.26239777
"=""2024-07""",87.34162903
"=""2024-08""",89.17202759
"=""2024-09""",90.96213531
"=""2024-10""",86.00220490
"=""2024-11""",87.69869232
"=""2024-12""",81.77690887
"=""2025-01""",82.78536987
"=""2025-02""",87.19065857
"=""2025-03""",86.17638397
"=""2025-04""",84.96614838
"=""2025-05""",82.23122406
"=""2025-06""",84.41825867
"=""2025-07""",83.45552063
"=""2025-08""",83.45846558
"=""2025-09""",86.45721436
"=""2025-10""",87.67930603
"=""2025-11""",87.90655518
"=""2025-12""",85.24127197
"=""2026-01""",85.84903717
"=""2026-02""",89.48478699
"=""2026-03""",85.74221802
"=""2026-04""",84.96551514
"=""2026-05""",86.08000183
