month,adj_close
"=""2018-02""",93.98360000
"=""2018-03""",96.66990000
"=""2018-04""",94.65120000
"=""2018-05""",96.54920000
"=""2018-06""",97.17390000
"=""2018-07""",95.77780000
"=""2018-08""",97.03610000
"=""2018-09""",94.25820000
"=""2018-10""",91.49730000
"=""2018-11""",93.13210000
"=""2018-12""",98.58040000
"=""2019-01""",98.95350000
"=""2019-02""",97.59280000
"=""2019-03""",103.03260000
"=""2019-04""",100.98450000
"=""2019-05""",107.89000000
"=""2019-06""",108.91330000
"=""2019-07""",109.19330000
"=""2019-08""",121.25340000
"=""2019-09""",118.00380000
"=""2019-10""",116.68960000
"=""2019-11""",116.21490000
"=""2019-12""",112.50050000
"=""2020-01""",121.15310000
"=""2020-02""",129.18150000
"=""2020-03""",137.42070000
"=""2020-04""",139.09300000
"=""2020-05""",136.64100000
"=""2020-06""",137.10230000
"=""2020-07""",143.18300000
"=""2020-08""",135.95810000
"=""2020-09""",137.00780000
"=""2020-10""",132.36960000
"=""2020-11""",134.57140000
"=""2020-12""",132.92170000
"=""2021-01""",128.09290000
"=""2021-02""",120.74910000
"=""2021-03""",114.41710000
"=""2021-04""",117.26940000
"=""2021-05""",117.27190000
"=""2021-06""",122.45450000
"=""2021-07""",127.00530000
"=""2021-08""",126.57160000
"=""2021-09""",122.89220000
"=""2021-10""",125.92030000
"=""2021-11""",129.41150000
"=""2021-12""",126.80420000
"=""2022-01""",121.84130000
"=""2022-02""",119.85220000
"=""2022-03""",113.32510000
"=""2022-04""",102.64470000
"=""2022-05""",100.33490000
"=""2022-06""",99.05660000
"=""2022-07""",101.46260000
"=""2022-08""",96.83890000
"=""2022-09""",88.86770000
"=""2022-10""",83.56420000
"=""2022-11""",89.53760000
"=""2022-12""",87.18470000
"=""2023-01""",93.84870000
"=""2023-02""",89.29420000
"=""2023-03""",93.61780000
"=""2023-04""",93.93320000
"=""2023-05""",91.10770000
"=""2023-06""",91.30450000
"=""2023-07""",88.98260000
"=""2023-08""",86.19090000
"=""2023-09""",79.34120000
"=""2023-10""",75.01070000
"=""2023-11""",82.44890000
"=""2023-12""",89.59720000
"=""2024-01""",87.58560000
"=""2024-02""",85.60780000
"=""2024-03""",86.27660000
"=""2024-04""",80.71250000
"=""2024-05""",83.04030000
"=""2024-06""",84.54490000
"=""2024-07""",87.61880000
"=""2024-08""",89.46600000
"=""2024-09""",91.24980000
"=""2024-10""",86.27000000
"=""2024-11""",87.98820000
"=""2024-12""",82.37710000
"=""2025-01""",82.78270000
"=""2025-02""",87.49670000
"=""2025-03""",86.44120000
"=""2025-04""",85.26220000
"=""2025-05""",82.52590000
"=""2025-06""",84.72690000
"=""2025-07""",83.76080000
"=""2025-08""",83.76680000
"=""2025-09""",86.77740000
"=""2025-10""",87.97550000
"=""2025-11""",88.21600000
"=""2025-12""",85.87590000
"=""2026-01""",85.84630000
"=""2026-02""",89.82510000
"=""2026-03""",86.02800000
"=""2026-04""",85.30580000
"=""2026-05""",86.08000000
