month,adj_close
"=""2015-06""",98.76410000
"=""2015-07""",103.26550000
"=""2015-08""",96.21820000
"=""2015-09""",94.07920000
"=""2015-10""",104.79650000
"=""2015-11""",105.43460000
"=""2015-12""",103.75960000
"=""2016-01""",96.58940000
"=""2016-02""",95.07740000
"=""2016-03""",101.59200000
"=""2016-04""",98.35450000
"=""2016-05""",102.65260000
"=""2016-06""",100.31700000
"=""2016-07""",107.49050000
"=""2016-08""",108.61920000
"=""2016-09""",111.02360000
"=""2016-10""",109.40570000
"=""2016-11""",109.88270000
"=""2016-12""",111.12790000
"=""2017-01""",116.84000000
"=""2017-02""",121.95180000
"=""2017-03""",124.42390000
"=""2017-04""",127.81690000
"=""2017-05""",132.79840000
"=""2017-06""",129.72210000
"=""2017-07""",134.99060000
"=""2017-08""",137.78970000
"=""2017-09""",137.38360000
"=""2017-10""",143.71210000
"=""2017-11""",146.54570000
"=""2017-12""",147.42740000
"=""2018-01""",160.33770000
"=""2018-02""",158.26480000
"=""2018-03""",151.81440000
"=""2018-04""",152.58240000
"=""2018-05""",161.23820000
"=""2018-06""",163.08510000
"=""2018-07""",167.64550000
"=""2018-08""",177.33660000
"=""2018-09""",176.83600000
"=""2018-10""",161.63570000
"=""2018-11""",161.20740000
"=""2018-12""",147.25590000
"=""2019-01""",160.52480000
"=""2019-02""",165.32640000
"=""2019-03""",171.81430000
"=""2019-04""",181.26280000
"=""2019-05""",166.35360000
"=""2019-06""",178.97950000
"=""2019-07""",183.15830000
"=""2019-08""",179.67920000
"=""2019-09""",181.32840000
"=""2019-10""",189.27070000
"=""2019-11""",196.97290000
"=""2019-12""",204.62650000
"=""2020-01""",210.84390000
"=""2020-02""",198.07220000
"=""2020-03""",183.64040000
"=""2020-04""",211.13820000
"=""2020-05""",225.07520000
"=""2020-06""",239.22030000
"=""2020-07""",256.79470000
"=""2020-08""",284.90020000
"=""2020-09""",268.82650000
"=""2020-10""",260.64090000
"=""2020-11""",289.89990000
"=""2020-12""",304.11340000
"=""2021-01""",304.90820000
"=""2021-02""",304.50110000
"=""2021-03""",309.72120000
"=""2021-04""",328.02520000
"=""2021-05""",324.08490000
"=""2021-06""",344.37680000
"=""2021-07""",354.22920000
"=""2021-08""",369.17300000
"=""2021-09""",348.20040000
"=""2021-10""",375.58290000
"=""2021-11""",383.08270000
"=""2021-12""",387.50230000
"=""2022-01""",353.60750000
"=""2022-02""",337.78010000
"=""2022-03""",353.54820000
"=""2022-04""",305.48070000
"=""2022-05""",300.63390000
"=""2022-06""",273.84130000
"=""2022-07""",308.21310000
"=""2022-08""",292.39500000
"=""2022-09""",261.58560000
"=""2022-10""",272.04860000
"=""2022-11""",287.13140000
